ID,Name,Year,Month,Day,Status,Wind_mph,Latitude,Longitude
AL081893,UNNAMED,1893,9,7, HU,85,29.2,-91.1
AL091893,UNNAMED,1893,10,13, HU,105,33,-79.5
AL101893,UNNAMED,1893,10,2, HU,115,29.3,-89.8
AL101893,UNNAMED,1893,10,2, HU,95,30.3,-88.9
AL111893,UNNAMED,1893,10,23, TS,50,35.2,-75.6
AL111893,UNNAMED,1893,10,23, TS,45,38.1,-75.6
AL021894,UNNAMED,1894,8,7, TS,50,30.3,-87.6
AL041894,UNNAMED,1894,9,25, HU,70,24.7,-82
AL041894,UNNAMED,1894,9,25, HU,90,26.5,-82
AL041894,UNNAMED,1894,9,27, HU,80,32.3,-80.7
AL041894,UNNAMED,1894,9,28, TS,60,34.7,-76.7
AL051894,UNNAMED,1894,10,9, HU,105,30.2,-85.5
AL051894,UNNAMED,1894,10,10, HU,75,40.7,-72.9
AL011895,UNNAMED,1895,8,15, TS,50,29.3,-89.6
AL011895,UNNAMED,1895,8,16, TS,45,30.2,-88.8
AL041895,UNNAMED,1895,10,7, TS,35,29.3,-94.8
AL061895,UNNAMED,1895,10,16, TS,35,25.7,-81.3
AL011896,UNNAMED,1896,7,7, HU,85,30.4,-86.5
AL021896,UNNAMED,1896,9,10, HU,70,41.2,-70.6
AL041896,UNNAMED,1896,9,29, HU,110,29.2,-83.1
AL051896,UNNAMED,1896,10,9, TS,50,26.4,-82
AL021897,UNNAMED,1897,9,10, TS,60,24.4,-81.9
AL021897,UNNAMED,1897,9,13, HU,75,29.7,-93.8
AL031897,UNNAMED,1897,9,21, TS,60,26.7,-82.3
AL031897,UNNAMED,1897,9,23, TS,60,35.2,-75.7
AL031897,UNNAMED,1897,9,24, TS,55,40.8,-72.7
AL031897,UNNAMED,1897,9,24, TS,45,41.3,-72.2
AL051897,UNNAMED,1897,10,20, TS,55,35.2,-75.5
AL061897,UNNAMED,1897,10,25, TS,55,36.1,-75.8
AL011898,UNNAMED,1898,8,2, TS,35,27.1,-80.1
AL011898,UNNAMED,1898,8,2, HU,70,29.7,-84.8
AL021898,UNNAMED,1898,8,31, HU,75,32.1,-80.8
AL051898,UNNAMED,1898,9,20, TS,50,29.6,-92.8
AL061898,UNNAMED,1898,9,28, TS,50,29.4,-94.7
AL071898,UNNAMED,1898,10,2, HU,115,30.9,-81.4
AL011899,UNNAMED,1899,6,27, TS,35,29.1,-95.1
AL021899,UNNAMED,1899,7,30, TS,40,24.9,-80.6
AL021899,UNNAMED,1899,8,1, HU,85,29.7,-84.7
AL031899,UNNAMED,1899,8,18, HU,105,35.2,-75.8
AL061899,UNNAMED,1899,10,5, TS,50,27.9,-82.8
AL091899,UNNAMED,1899,10,31, HU,95,33.6,-79
AL011900,UNNAMED,1900,9,9, HU,120,29.1,-95.1
AL041900,UNNAMED,1900,9,13, TS,40,29.1,-89.5
AL041900,UNNAMED,1900,9,13, TS,35,30.3,-88.8
AL061900,UNNAMED,1900,10,12, TS,40,29.5,-83.3
AL011901,UNNAMED,1901,6,13, TS,35,29.9,-84.6
AL021901,UNNAMED,1901,7,10, TS,45,28.6,-96
AL031901,UNNAMED,1901,7,11, HU,70,36,-75.8
AL031901,UNNAMED,1901,7,12, TS,35,34,-77.9
AL041901,UNNAMED,1901,8,10, TS,40,26.3,-80.1
AL041901,UNNAMED,1901,8,14, HU,75,29.3,-89.6
AL041901,UNNAMED,1901,8,15, HU,75,30.4,-88.8
AL081901,UNNAMED,1901,9,17, TS,50,30.4,-86.6
AL101901,UNNAMED,1901,9,28, TS,40,29.9,-84.6
AL011902,UNNAMED,1902,6,14, TS,50,29.8,-83.7
AL021902,UNNAMED,1902,6,26, TS,60,27.7,-97.2
AL041902,UNNAMED,1902,10,10, TS,50,30.3,-87.3
AL031903,UNNAMED,1903,9,11, HU,75,26.1,-80.1
AL031903,UNNAMED,1903,9,13, HU,80,30.1,-85.6
AL041903,UNNAMED,1903,9,16, HU,70,39.1,-74.7
AL021904,UNNAMED,1904,9,14, HU,70,33.1,-79.2
AL041904,UNNAMED,1904,10,17, HU,70,25.3,-80.3
AL041904,UNNAMED,1904,10,20, TS,35,25.5,-81.2
AL061904,UNNAMED,1904,11,3, TS,35,30.3,-86.7
AL031905,UNNAMED,1905,9,29, TS,45,29.6,-92.6
AL051905,UNNAMED,1905,10,9, TS,45,29.5,-91.4
AL011906,UNNAMED,1906,6,12, TS,45,30.1,-85.6
AL021906,UNNAMED,1906,6,17, HU,70,24.7,-81.1
AL021906,UNNAMED,1906,6,17, HU,75,25.2,-80.7
AL051906,UNNAMED,1906,9,17, HU,80,33.3,-79.2
AL061906,UNNAMED,1906,9,27, HU,95,30.2,-88.6
AL081906,UNNAMED,1906,10,18, HU,105,24.7,-81.1
AL081906,UNNAMED,1906,10,18, HU,105,25.3,-80.7
AL081906,UNNAMED,1906,10,21, TS,50,30,-81.4
AL011907,UNNAMED,1907,6,28, TS,50,30.3,-85.9
AL021907,UNNAMED,1907,9,21, TS,40,30.4,-88.9
AL031907,UNNAMED,1907,9,28, TS,45,30.1,-85.7
AL021908,UNNAMED,1908,5,29, HU,65,35.2,-75.6
AL021908,UNNAMED,1908,5,30, TS,35,41.3,-72
AL031908,UNNAMED,1908,7,31, HU,70,34.6,-77.1
AL041908,UNNAMED,1908,7,31, TS,50,29.5,-91.9
AL051908,UNNAMED,1908,9,1, TS,45,34.6,-76.6
AL021909,UNNAMED,1909,6,29, HU,85,26.1,-97.2
AL031909,UNNAMED,1909,6,28, TS,45,26,-80.1
AL031909,UNNAMED,1909,6,30, TS,35,30.1,-84.1
AL041909,UNNAMED,1909,7,21, HU,100,28.9,-95.3
AL081909,UNNAMED,1909,8,29, TS,45,26.4,-80.1
AL091909,UNNAMED,1909,9,21, HU,100,29.5,-91.3
AL111909,UNNAMED,1909,10,11, HU,100,24.7,-81
AL031910,UNNAMED,1910,9,14, HU,90,26.9,-97.4
AL051910,UNNAMED,1910,10,18, HU,95,26.5,-82
AL021911,UNNAMED,1911,8,11, HU,70,30.3,-87.5
AL031911,UNNAMED,1911,8,28, HU,85,32.2,-80.7
AL011912,UNNAMED,1912,6,13, TS,60,29.6,-91.6
AL021912,UNNAMED,1912,7,15, TS,45,31.3,-81.3
AL041912,UNNAMED,1912,9,14, HU,65,30.3,-88.4
AL061912,UNNAMED,1912,10,16, HU,85,27.1,-97.4
AL011913,UNNAMED,1913,6,28, HU,65,27.1,-97.4
AL041913,UNNAMED,1913,9,3, HU,75,34.7,-76.6
AL051913,UNNAMED,1913,10,8, HU,65,33.1,-79.4
AL011914,UNNAMED,1914,9,17, TS,60,30.6,-81.4
AL011915,UNNAMED,1915,8,1, HU,65,28.7,-80.8
AL021915,UNNAMED,1915,8,17, HU,115,29.2,-95.1
AL041915,UNNAMED,1915,9,4, HU,80,30,-85.4
AL061915,UNNAMED,1915,9,29, HU,110,29,-90.3
AL011916,UNNAMED,1916,5,14, TS,35,25.1,-81
AL021916,UNNAMED,1916,7,5, HU,105,30.4,-88.4
AL031916,UNNAMED,1916,7,21, TS,60,41.4,-71.2
AL041916,UNNAMED,1916,7,14, HU,95,32.9,-79.5
AL061916,UNNAMED,1916,8,18, HU,115,27,-97.4
AL071916,UNNAMED,1916,8,25, TS,40,25.6,-80.3
AL091916,UNNAMED,1916,9,6, TS,45,33.9,-78.3
AL121916,UNNAMED,1916,10,4, TS,50,31.5,-81.4
AL141916,UNNAMED,1916,10,18, HU,95,30.4,-87.4
AL041917,UNNAMED,1917,9,29, HU,100,30.4,-86.6
AL011918,UNNAMED,1918,8,6, HU,105,29.8,-93.2
AL031918,UNNAMED,1918,8,24, HU,65,34.8,-76.8
AL011919,UNNAMED,1919,7,4, TS,55,30.4,-87
AL021919,UNNAMED,1919,9,10, HU,130,24.6,-82.9
AL021919,UNNAMED,1919,9,14, HU,100,27.2,-97.3
AL041919,UNNAMED,1919,10,1, TS,40,31.2,-81.3
AL021920,UNNAMED,1920,9,22, HU,85,29.1,-90.8
AL031920,UNNAMED,1920,9,23, TS,55,33.7,-78.2
AL051920,UNNAMED,1920,9,30, TS,55,28.9,-82.9
AL011921,UNNAMED,1921,6,22, HU,80,28.5,-95.9
AL061921,UNNAMED,1921,10,25, HU,100,28.1,-82.8
AL011923,UNNAMED,1923,6,26, TS,40,29.1,-90.1
AL061923,UNNAMED,1923,10,16, HU,70,29.2,-91
AL071923,UNNAMED,1923,10,19, TS,50,41.3,-70.6
AL081923,UNNAMED,1923,10,18, TS,50,30.3,-89
AL051924,UNNAMED,1924,9,15, HU,75,29.7,-85.3
AL081924,UNNAMED,1924,9,29, TS,55,30,-84
AL101924,UNNAMED,1924,10,21, HU,80,25.8,-81.8
AL041925,UNNAMED,1925,12,1, TS,55,26.3,-81.9
AL011926,UNNAMED,1926,7,28, HU,90,29,-80.8
AL031926,UNNAMED,1926,8,25, HU,100,29.2,-90.9
AL071926,UNNAMED,1926,9,18, HU,125,25.6,-80.3
AL071926,UNNAMED,1926,9,20, HU,100,30.3,-87.5
AL051927,UNNAMED,1927,10,3, TS,50,32.5,-80.4
AL011928,UNNAMED,1928,8,8, HU,85,27.3,-80.2
AL011928,UNNAMED,1928,8,10, TS,35,30,-84.3
AL021928,UNNAMED,1928,8,13, TS,60,24.7,-81.4
AL021928,UNNAMED,1928,8,14, TS,45,29.9,-84.7
AL041928,UNNAMED,1928,9,17, HU,125,26.7,-80
AL041928,UNNAMED,1928,9,18, HU,75,32.5,-80.3
AL011929,UNNAMED,1929,6,28, HU,80,28.3,-96.4
AL021929,UNNAMED,1929,9,28, HU,100,25,-80.5
AL021929,UNNAMED,1929,10,1, HU,70,30.2,-85.7
AL021930,UNNAMED,1930,9,9, TS,40,27.5,-82.7
AL011931,UNNAMED,1931,6,27, TS,40,26.6,-97.3
AL021931,UNNAMED,1931,7,15, TS,50,29.2,-91
AL021932,UNNAMED,1932,8,14, HU,130,29,-95.2
AL031932,UNNAMED,1932,8,30, TS,55,25.3,-80.3
AL031932,UNNAMED,1932,9,1, HU,75,30.2,-88.1
AL061932,UNNAMED,1932,9,15, TS,50,30,-83.9
AL081932,UNNAMED,1932,9,19, TS,55,29.6,-91.9
AL031933,UNNAMED,1933,7,23, TS,40,28.6,-96
AL051933,UNNAMED,1933,7,30, HU,65,27.1,-80.1
AL061933,UNNAMED,1933,8,23, HU,80,35.8,-75.6
AL061933,UNNAMED,1933,8,23, HU,75,36.1,-75.8
AL081933,UNNAMED,1933,9,5, HU,110,26.1,-97.2
AL111933,UNNAMED,1933,9,4, HU,110,26.9,-80.1
AL111933,UNNAMED,1933,9,5, TS,55,29.2,-82.9
AL011934,UNNAMED,1934,6,16, HU,85,29.7,-91.7
AL031934,UNNAMED,1934,7,25, HU,75,28.1,-96.8
AL061934,UNNAMED,1934,9,3, TS,40,35,-76.2
AL071934,UNNAMED,1934,9,9, HU,65,40.7,-73
AL071934,UNNAMED,1934,9,9, TS,50,41.2,-73
AL111934,UNNAMED,1934,10,6, TS,45,30.3,-87.4
AL031935,UNNAMED,1935,9,3, HU,160,24.8,-80.8
AL031935,UNNAMED,1935,9,4, HU,85,29.6,-83.4
AL071935,UNNAMED,1935,11,4, HU,85,25.9,-80.1
AL011936,UNNAMED,1936,6,15, TS,40,25.9,-81.7
AL031936,UNNAMED,1936,6,27, HU,70,27.9,-97
AL041936,UNNAMED,1936,7,27, TS,40,29.1,-90.2
AL051936,UNNAMED,1936,7,29, TS,55,25.3,-80.3
AL051936,UNNAMED,1936,7,31, HU,90,30.4,-86.6
